prompt_id,set,question,gold,n_prompt_tokens,small,small_first_token,small_correct,small_prefill_ms,small_decode_ms_per_token,small_total_ms,small_n_generated,large,large_first_token,large_correct,large_prefill_ms,large_decode_ms_per_token,large_total_ms,large_n_generated,exit,exit_first_token,exit_correct,exit_prefill_ms,exit_decode_ms_per_token,exit_total_ms,exit_n_generated,warm,warm_first_token,warm_correct,warm_prefill_ms,warm_decode_ms_per_token,warm_total_ms,warm_n_generated,exit_first_token_eq_large,exit_first_token_eq_small,warm_first_token_eq_large,warm_first_token_eq_small
cap_ng,divergent,What is the capital city of Nigeria?,Abuja,72,Lagos,L,False,44.21020799782127,24.282666490762495,92.77554097934626,3,Abuja,Ab,True,112.97058299533091,59.096687502460554,231.16395800025202,3,Kaccé,K,False,107.70704198512249,41.71834768688617,232.862085045781,4,Abna-Nina,Ab,False,144.35600000433624,41.58770849608118,310.70683398866095,5,False,False,True,False
cap_nz,divergent,What is the capital city of New Zealand?,Wellington,73,Auckland,A,False,43.721624999307096,24.186020993511193,92.09366698632948,3,Wellington,Well,True,112.49554099049419,59.24562500149477,230.98679099348374,3,Well is,Well,False,107.03404099331237,41.34562500985339,189.72529101301916,3,Wellest,Well,False,142.75662502041087,41.547312488546595,225.85124999750406,3,True,False,True,False
us_mo,divergent,What is the capital of the U.S. state of Missouri?,Jefferson City,77,Jefferson City,Jeff,True,47.680625022621825,24.30254200589843,120.58825104031712,4,Jefferson City,Jeff,True,116.62920800154097,59.22716631903313,294.31070695864037,4,Spring,Spring,False,106.70595802366734,40.43458399246447,147.1405420161318,2,Jeffapolis,Jeff,False,141.50941598927602,41.76599999482278,225.04141597892158,3,False,False,True,True
his_president16,divergent,Who was the 16th President of the United States?,Lincoln|Abraham Lincoln,76,Warren G. Harding,War,False,47.47783299535513,24.522883200552315,170.0922489981167,6,Abraham Lincoln,Ab,True,116.63679100456648,59.190111341498174,294.207125029061,4,George Washington,George,False,108.48941700533032,41.478666506009176,191.44675001734868,3,Ab John,Ab,False,145.19254199694842,41.4334164961474,228.05937498924322,3,False,False,True,False
mis_currency_se,divergent,What is the official currency of Sweden?,krona|kronor,72,Swedish Krona,Sw,True,44.97550000087358,24.446979266940616,142.76341706863604,5,Swedish krona,Sw,True,115.58366598910652,59.57751000096323,353.89370599295944,5,"Kron

Kron is the currency of Denmark",K,False,107.85412500263192,41.40149170416407,521.8690420442726,11,Swedish krone,Sw,False,142.2655839996878,40.99896900879685,306.2614600348752,5,False,False,True,True
mis_continents,divergent,"How many continents are there on Earth, by the common seven-continent model?",7|seven,80,6,6,False,46.178707998478785,24.082417017780244,70.26112501625903,2,Seven,Seven,True,112.58950000046752,59.49995797709562,172.08945797756314,2,Seven continents,Seven,True,106.29545801202767,41.445520997513086,189.18650000705384,3,Seven,Seven,True,141.87829199363478,41.46854198188521,183.34683397551998,2,True,False,True,False
cap_au,control,What is the capital city of Australia?,Canberra,72,Canberra,Can,True,43.936625006608665,23.91883300151676,91.77429100964218,3,Canberra,Can,True,112.64029200538062,58.22972899477463,229.09974999492988,3,Canberra,Can,True,107.32445801841095,41.01816700131167,189.36079202103429,3,Canberra,Can,True,144.18358300463296,42.07764599414077,228.3388749929145,3,True,True,True,True
cap_ca,control,What is the capital city of Canada?,Ottawa,72,Ottawa,O,True,44.645249989116564,24.077430338365957,116.87754100421444,4,Ottawa,O,True,113.1735410017427,59.935791679890826,292.9809160414152,4,Ottya,O,False,107.63491698889993,42.78172232443467,235.98008396220393,4,Ottfoundland,O,False,142.20108301378787,40.88072232358778,264.8432499845512,4,True,True,True,True
cap_tr,control,What is the capital city of Turkey?,Ankara,72,Ankara,An,True,43.85020898189396,24.23716698831413,92.32454295852222,3,Ankara,An,True,113.11104201013222,58.754958503413945,230.62095901696011,3,Anstanbul,An,False,107.94787501799874,41.274020506534725,190.4959160310682,3,Anstanbul,An,False,142.25041601457633,40.64041649689898,223.5312490083743,3,True,True,True,True
cap_kz,control,What is the capital city of Kazakhstan?,Astana|Nur-Sultan|Nur Sultan,72,Astana.,Ast,True,43.584875005763024,24.353180672430124,116.64441702305339,4,Astana,Ast,True,113.06108298595063,58.37625000276603,229.8135829914827,3,Astinsk,Ast,False,108.01387499668635,41.90506249142345,191.82399997953326,3,Astinsk,Ast,False,143.65545901819132,40.56622901407536,224.78791704634205,3,True,True,True,True
cap_mm,control,What is the capital city of Myanmar?,Naypyidaw|Naypyitaw|Nay Pyi Taw,72,Naypyidaw,N,True,43.57849998632446,23.57338320580311,161.44541601534002,6,Naypyidaw,N,True,112.21491699689068,57.3563666024711,398.99675000924617,6,Nay Yang.,N,False,105.70079198805615,40.393666495219804,267.27545796893537,5,Nay Yang,N,False,140.05716700921766,40.73748599815493,262.26962500368245,4,True,True,True,True
cap_bz,control,What is the capital city of Brazil?,Brasilia|Brasília,72,Brasília,Br,True,43.28816701308824,23.654597336038325,114.25195902120322,4,Brasília,Br,True,112.3870830051601,57.507194665959105,284.9086670030374,4,Bras Salvador,Br,False,106.32833300041966,40.130333664516606,226.71933399396949,4,Bras Bras,Br,False,141.2303750112187,40.25423599523492,261.9930829969235,4,True,True,True,True
