prompt_id,set,question,gold,n_prompt_tokens,small,small_first_token,small_correct,small_prefill_ms,small_decode_ms_per_token,small_total_ms,small_n_generated,large,large_first_token,large_correct,large_prefill_ms,large_decode_ms_per_token,large_total_ms,large_n_generated,exit,exit_first_token,exit_correct,exit_prefill_ms,exit_decode_ms_per_token,exit_total_ms,exit_n_generated,warm,warm_first_token,warm_correct,warm_prefill_ms,warm_decode_ms_per_token,warm_total_ms,warm_n_generated,exit_first_token_eq_large,exit_first_token_eq_small,warm_first_token_eq_large,warm_first_token_eq_small
cap_ca,divergent,What is the capital city of Canada?,Ottawa,50,Toronto,Toronto,False,16.966459021205083,12.588541983859614,29.555001005064696,2,Ottawa,O,True,81.88625000184402,55.41870801243931,248.14237403916195,4,Capital city of the United Kingdom,Capital,False,69.33883400051855,16.72498583017538,169.68874898157082,7,"Oyt, Mongolia",O,False,97.19166700961068,17.674249997071456,167.8886669978965,5,False,False,True,False
cap_kz,divergent,What is the capital city of Kazakhstan?,Astana|Nur-Sultan|Nur Sultan,50,Almaty,Al,False,16.867333004483953,11.933027679333463,52.66641604248434,4,Nur-Sultan,N,True,81.93237500381656,56.21080200216966,306.7755830124952,5,City of Bogolin,City,False,69.44208400091156,16.98338339338079,154.35900096781552,6,Nいか0?,N,False,96.12183400895447,16.98563524405472,164.06437498517334,5,False,False,True,False
cap_ng,divergent,What is the capital city of Nigeria?,Abuja,50,Ibadan,I,False,16.761916980613023,12.496388662839308,54.25108296913095,4,Abuja,Ab,True,81.80370801710524,55.7005620066775,193.20483203046024,3,Acc tick.,Acc,False,68.78041700110771,16.45356933780325,118.14112501451746,4,Ab. Ast0哐,Ab,False,95.5900420085527,16.675758396741003,178.96883399225771,6,False,False,True,False
cap_za,divergent,What is the executive capital of South Africa?,Pretoria,51,Bank of South Africa,Bank,False,16.783208993729204,12.531573243904859,66.90950196934864,5,Pretoria,P,True,83.60112499212846,55.84211133342857,251.12745899241418,4,"South Africa's capital city of Johannesburg, the capital of the Republic of South Africa, is the largest city of the Republic",South,False,69.08524999744259,17.019509083500292,460.53395891794935,24,Poker坑,P,False,96.8546670046635,18.361611000727862,151.93950000684708,4,False,False,True,False
cap_ma,divergent,What is the capital city of Morocco?,Rabat,50,Marrakesh,M,False,16.69887499883771,12.239385505381506,65.65641702036373,5,Rabat,R,True,83.18316700751893,56.55343033140525,252.8434580017347,4,City of Riyadh,City,False,69.80895801098086,16.882250328004982,120.4557089949958,4,Rome,R,False,96.84937499696389,18.25483300490305,133.35904100676998,3,False,False,True,False
us_ny,divergent,What is the capital of the U.S. state of New York?,Albany,56,New York City,New,False,21.603208006126806,12.397055669377247,58.79437501425855,4,Albany,Al,True,87.26595898042433,55.9365136626487,255.07549996837042,4,Sure1乖1,Sure,False,69.31833300041035,16.615208245639224,135.77916598296724,5,Alpodia,Al,False,98.59904198674485,16.770208671611424,148.90966800157912,4,False,False,True,False
cap_au,control,What is the capital city of Australia?,Canberra,50,Canberra,Can,True,16.64075002190657,11.741208509192802,40.123167040292174,3,Canberra,Can,True,82.09037498454563,55.33772950002458,192.7658339845948,3,Can is the capital of Australia,Can,False,68.89070800389163,16.715736007123876,169.18512404663488,7,Can is the capital of Australia,Can,False,96.09908299171366,16.781673504738137,196.78912402014248,7,True,True,True,True
cap_tr,control,What is the capital city of Turkey?,Ankara,50,Ankara, Ankara,True,16.632374987239018,12.543000018922612,29.17537500616163,2,Ankara,An,True,82.00166598544456,55.84427765764607,249.53449895838276,4,İصندyt,İ,False,69.53470900771208,16.793777991551906,119.9160429823678,4,"An capital of the country, Ankarazik",An,False,97.61029199580662,16.89915124734398,232.80350197455846,9,False,False,True,False
cap_bz,control,What is the capital city of Brazil?,Brasilia|Brasília,50,Brasília,Br,True,16.66433399077505,12.168486330968639,53.16979298368096,4,Brasília,Br,True,82.11225000559352,55.99605533643626,250.1004160149023,4,"Brazil's capital city's name, the largest city of the European1 Portuguese?",Brazil,False,68.75637502525933,17.38318750176404,346.887375053484,17,BrBrBr,Br,False,97.75466701830737,17.19370867552546,149.33579304488376,4,False,False,True,True
cap_ch,control,What is the capital city of Switzerland?,Bern|Berne,50,Bern,Bern,True,16.99395800824277,11.92470800015144,28.91866600839421,2,Bern,Bern,True,83.39979199809022,56.48358300095424,139.88337499904446,2,Bern,Bern,True,70.80358301755041,16.864667006302625,87.66825002385303,2,Bern,Bern,True,102.2626250050962,18.14808399649337,120.41070900158957,2,True,True,True,True
cap_nz,control,What is the capital city of New Zealand?,Wellington,51,Wellington, Wellington,True,17.420625023078173,12.553042004583403,29.973667027661577,2,Wellington,Well,True,89.49770900653675,59.30799998168368,208.1137089699041,3,Well0蹊P,Well,False,77.46020899503492,21.93702050135471,165.20829100045376,5,WellPlanet,Well,False,107.4868330033496,19.003416993655264,145.49366699066013,3,True,False,True,False
cap_bt,control,What is the capital city of Bhutan?,Thimphu,51,Thimphu,Th,True,18.886500009102747,13.934072994743474,74.62279198807664,5,Thimphu,Th,True,86.22162500978447,61.10872925637523,330.6565420352854,5,Th0ThThe,Th,False,69.75983301526867,18.22223974886583,142.648792010732,5,Th0ThThe,Th,False,97.08750000572763,18.233646005683113,170.02208402846009,5,True,True,True,True
